평점,댓글
1,"5시 30분 진료 마감이라해서 간신히 일찍 5시 20분에 도착했는데 진료 안받는다고 하네요.. 6시까지 진료에 접수하는 곳에 대기자도 없던데, 접수처 직원분이 진료 일찍 끝나서 담소중이시라고 잠시만 기다려보라고 하시고 오늘 진료 끝났다고 하니 좀 벙찌고 실망스럽네요.."
5,대기는 한참 하고 진료실 들어가면 막상 원장님 진료 1분컷 하고 이런 병원들 짱 많은데(갔다오면 허무하고 진료비 왜 받나 싶은 생각 드는..ㅋㅋ) 여기는 성의있게 봐주시고 설명도 잘 해주세요 진료 보실 때 집중해주시는 느낌 듭니다 그리고 데스크 직원분들도 안내 친절 굳굳 감기가 하도 안 떨어져서 간 건데 앞으로 또 아플 때 갈 의향 있고 주변에도 추천해주려...
5,깔끔하고 진료도 만족스러워요
5,"비염이랑 코수술 같이 했어요 직장 동료들 여기서 한 사람들이 있어서 알게된 건데 진작 할 걸 싶을 정도로 만족스럽네요~ 병원 무지 깔끔하고 넓은 편이에요 수술 하기 전에 코 사진? 내시경? 같은 것도 하고, 보면서 자세하게 저한테 설명해주니까 더 믿음이 가더라구요 수술 경과 너무 좋구요~~ 전문적이면서도 친절하게 해주셔서 추천해준 동료들한테도 고마웠어요 ㅋ..."
5,다 친절하시고 좋네요
3,토요일 진료시간이 오후 1시까지인데 1:30까지 나와있어서 허탕쳤네요.. 수정필요합니다. 
4,괜찮은데 인기가 많긴 해요 대기 없는 시간대 찾아서 오려고요~
5,재방문 할 거예요
5,"코 질환 수술로 유명한 병원이던데 여기저기 알아보다가 찾은 곳이라 기대를 많이 하고 갔습니다 사람이 많은데도 생각보다 대기는 안 길었구요 상담이랑 진료 다 친절히 잘 해주셨어요 걱정도 많고 궁금한 게 많아서 질문 많이 했는데 귀찮아하시지 않고 자세하게 알려주셔서 좋았어요^^ 수술도 잘 돼서 물론 좋구요, 관리도 잘 해주셔서 짱짱입니다 알아보고 오길 잘했네요"
5,원장님 좋아요
5,굿~!!!!!
5,좋아요
5,비염은 거의 불치병이라고 생각했었는데 정말 좋아지긴 하네요 완전 만성비염이라 병원 많이 다녔는데 여기처럼 제대로 봐주는 곳은 처음이에요 알레르기 반응 검사도 하고 뭐 내시경이나 씨티 이런것도 찍고 여튼 다 똑같은 비염인 줄 알았는데 아닌가봐요 다행히 수술은 안 하고 약 처방 받고 하는데 이것만으로도 많이 좋아졌어요 그동안도 약은 먹었는데 별로 안 맞는 거였...
5,여기로만 다녀요^^
5,병원이 참 깨끗해요
5,동네에서 젤 좋음
