,댓글
0,일단 친절합니다...  진료 꼼꼼하게 봐 주시고요..  댓글이 호불호가 갈리는데 저같은 경우는 만족하는편입니다..
1,"천원장, 콧물 뒤로 넘어가고 역류증상에 목부위가 답답하고 두통때문에 잠을 설친다니까 초음파 5분보고 정신과 가라네요. 의뢰서라도 받을 걸 그랬습니다."
2,천원장은 뭐 초음파를 1분내에 끝내요.. 너무 건성건성
3,의사는 대충진료 간호사들은 하나같이 불친절..여기는 관련 카페를 가나 어딜가나 댓글 다는곳은 알바들이 판을 치네.. 알바글도 간호사들이 작성하는거겠지. 
4,이비인후과지만 귀 진료를 안봅니다.. 병원명 개명좀요 ㅠ 아까운 시간만 날리네요..
5,직원분들이 친절해서 좋았어요!꼼꼼히 진료도 해주셔서 만족했어요!!
6,친절하셔요 ~~ 꼼꼼
7,"간호사분들, 원장님까지 너무 친절하셨음  보호자 입장으로 걱정 많이 됐지만 원장님께서 잘 설명해주심"
8,이하선 종양(침샘종양) 판정을 받았습니다 지방에 사는데 모 대학병원이 못미더워서 서울 큰 대형병원들 알아보던중 수술이 너무 밀려있어서 정보를 찾아보던중 여자친구가 계속 검색하더니 땡큐이비인후과라고 강남에 있으니 가보라고 해서 가봤습니다 빠르게 초음파 검사 진행하고 그 다음주로 수술날짜를 바로 잡고 25일 12시쯤 수술 진행(50여분)후 다음날 오전 10시에...
9,이하선종양 수술로 입원했어요. 대학병원 가려다  여러 후기들과 원장선생님의 유튜브 설명등을 보고 이곳으로 결정. 쾌적한병실과 친절하신 간호사분들ㅠㅠ도 너무 좋았고 무엇보다 수술 후 컨디션이 너무 좋아요.  생각했던 것보다 안아프고 링거도 빨리빼고 바로 다음날 퇴원 할 수 있어서 좋습니다. 그냥 무작정 퇴원하는게 아니라 상태가 좋은 상태에서 퇴원하니 이곳을 ...
10,"대학병원 예약이 너무 미뤄져서, 이 병원에 가게 됐습니다. 초음파랑 혈액검사 했고 약 14만원 나왔습니다. 진료시간은 짧았어요. 대학병원보다 빠르게 진료 가능한 점이 최고 장점인 것 같아요. "
11,원장님이 수술 잘하신다고 하셔서 지방에서 올라와서 수술했는데 결과도 좋고  원장님뿐만 아니라 간호사님들도 친절하고 좋았습니다
12,갑상선 두경부 목 특화병원입니다. 귀나 코는 진료를보지않아요
