,댓글
0,남의사와 데스크에 앉은 조무사들 매우 불친절함 진료비는 기본 10000원 이상 나온다고 봐야함
1,간호사분들만 못알아먹는게 아니라 접수하려는 환자도 무슨말인지 못알아먹어요 그렇게 개미만한 목소리로 이야기하면 그리고 모든사람들이 의학적인지식을 다 알고있으면 간호사분들이 그 자리에 앉아계실이유가없지않나요? 물어봤으면 어떻게하라라고 알려주셔야 하는거 아니에요? 진짜 최악이에요 다시는 안갈겁니다 정말로
2,코로나 때문에 평점 떡락했지만 나쁘지 않아요
3,검사 받으러 온 사람은 따로 해주면 안되나요? 30초면 끝날걸 융통성없이 다른 진료 보는 사람들이랑 똑같이 기다리게 하니 코로나 시국에 병원이 사람들로 꽉참.. 여기서 걸릴듯
4,이비인후과인지무슨선별진료소인지 이비인후과치료온사람을진료중바주어야하는되그저단순코로나검사위주로치료를하니.아무리한사람당1분에5천원씩이라고실제진료보단다른목적이진료를하고더웃긴건간호원들전표를잔득가지고있으면서환자들많이왔다고웃고있으니어이가없는일이네요. 그냥돈벌이에만신경쓰니안타깝네요
5,"1. 의사선생님은 까칠하시지만 전문적이십니다. 묻는 말에만 잘 대답하시면 되고, 제 상태가 호전되면기분이 좋아지시는게 눈에 보입니다. ㅋㅋ 친절한 선생님을 바라시면 기분이 상하실 수도 있어요. 그래도 약 세기며 어떻게 치료해나갈건지 잘 설명해주셔서 저는 좋았어요. 2. 데스크(간호사?) 선생님들은 불친절하시고 사무적입니다. 그분들 입장에서 일이니까 귀찮을 ..."
6,의사선생님은 괜찮은데 간호사분들이... 한분 빼곤 다 친절하지도 않고 업무도 어찌나 잘보시는지 똑같은 이름만 5번 불렀어요 병원에는 이런 후기 안남기는데 정말 
7,리뷰때문에 걱정했는데 남의사분 엄청 효율적으로 잘 진료해주시고 다른 의사들이 해주지 않는 자세한 설명해주셔서 잘 치료받고 감
8,남자의사분 근래 보기 드물게 불친절하네요. 환자를 답답하게 생각하시는 것 같기도 하고 자기 주장 너무 강하신 것도 같고.. 얼마나 잘 낫는지는 모르겠지만 기분부터 상해서 다시 안 갈 겁니다
9,설명도 잘해주시고 코랑 목 치료도 잘해주셔서 만족합니다  처방해주신 약이 잘 맞으면 좋겠네요
10,"남의사가 너무 불친절해요. 가까워서 어쩔수없이 갔는데, 기분나빠서 다신 안 갈래요. "
11,간호사분 너무 불친절 하세요 
12,.
13,여자원장님 정말 너무너무 친절하셔요!!ㅠㅠ 백신 맞으러 간거였는데 주사도 안아프게 놔주시구.. 설명도 완전 잘해주시구!! 감사해요~!!!
14,진료비용 비싸고 의사는 무슨 환자한테 따지듯이 묻고 훈계질이나 하고 간호사들도 불친절합니다. 다른데 가세요 제발
15,사람이 사람한테 친절한건 기본중의 기본입니다. 친절하지 못하겠으면 불친절은 하지 말아야지요. 진료를 떠나서 해당 병원 문을 들어서 간호사의 응대부터 시작하여 진료하는 선생까지.. 다시금 생각들 해보시기 바랍니다. 무료진료소도 그렇게 안 하겠습니다..
16,남자의사께서 친절하게 목구조와 통증원인 설명 해주고 잘 진료해 주었습니다.  간호사분들도 친절하시고... 감사합니다. 
17,가까운곳에 이비인후과가 여기뿐이라 아쉬운데로 오긴했지만 정말 어의가 없네요 하잖은취급받는다는 느낌을 매번받아요 환자얘기를 듣지않고 혼자만 말하고... 환자가 축농증이라고 말하는데...감기라고...  다른병원서 이미 축농증 진단받았구만 참나~좀 멀어도 다른곳 찾아볼까해요
18,목감기 심했을때 갔는데 친절하고 좋았어요
19,항상 여유로운 시간대에 가서 그런지 불친절한건 못느꼈어요. 여의사분 상세하게 상담해주시고 치료도 꼼꼼히 해주십니다. 그리고 원장님? 나이 많으신 남의사분도 귀구조 설명해주시면서 꼼꼼히 진료해주세요. 요즘에 외이도염때문에 자주갔는데 만족합니다. 두분 다 증세에 대해서 상세히 들어주시고 어떻게 관리해야하는지도 설명해주십니다.
20,여의사가 매우 불친철함
21,의사분들이 여러명 계시는데 갈때마다 바뀌어요 전에 진료봤던 아저씨 의사는 좀 불친절하신데 최근에 오신 여자 의사분은 친절하게 설명도 잘해주시구 약 처방도 필요한 것만 내주시는 편이라 좋아요
22,별 0개 없나요? ㅎㅎ 절대 가지마세요 간호사들은 교류가 없어서 모르겠는데 의사 불친절한거 이분들도 같이 일하면서 느끼실거같네요.. 리뷰 보고나올걸 계속 후회해요 혹시나 해서 리뷰 보니까 역시.. 그리고 진료비 비싼거 되물어보니까 기본진료 9000원 이상이라고 설명해주시는데 음.. 그럴순 있죠 근데 솔직히 간호사분들 생각하시기에도 귀지제거하러 다른 병원 갔...
23,"별 하나도 아까움.. 간호사 더럽게 불친절함. 진료시간은 6시반이라고 공지했음 6시반까지 접수를 받아야지, 6시쯤 가면 접수 마감이라고 매몰차게 돌려보냄. 의료인 마인드의 기본중의 기본도 모자람.. 진료시간 후에 가도 대기환자 있으면 그냥 다 봐주는 병원도 많은데, 배가 불렀음.... 환자가 안가야 정신차리지...ㅉ"
24,"와... 저는 평점 보고 설마설마 하면서 갔습니다.  회사에서 가장 가까운 병원이라 그냥 갔는데, 분명히 점심시간이 13-14시로 표기가 되어 있어 1시 50분에 가서 기다리고 있었습니다.  간호사 분들은 휴게실에서 점심을 드시는 중이신 것 같아 그런가 싶어 접수증에 개인정보를 적고 기다리고 있는데, 2:10분이 지나도 간호사 분들은 점심 먹은 용기 치우시..."
25,의사선생님의 친절한 설명이 너무 좋은 병원 접수를 태블릿으로 할 수 있네요.
26,진료비다 너무 비싸네요. 기본 진료비가 8000원 정도.
