,댓글
0,좋
1,좋아요 
2,"접수할 때 데스크에 알바인지 간호조무사인지는 모르겠지만 응대가 .. 더보기

+ 적고 보니 이미 이런 리뷰 많네요 ㅋㅋㅋ"
3,♡♡
4,"지이인짜 불친절해요..  손님이 그냥 귀찮은듯 아파서 갔다가 기분까지 나빠져서 나오는곳 가까워서 갔는데 다음부터는 더 멀리가더라도 다른곳 갈려
구요"
5,"백신 맞을 때를 비롯하여 몇 번을 갔는데 갈 때마다 의사든 조무사든 꾸준히 너무 불친절한 곳. 특히 데스크에 앉아있는 조무사들 너무 불친절. 병원에 
당연히 진료 보러 왔겠죠.. '진료 보러 오셨어요?' 묻길래 제대로 못 들어서 네? 하고 되물어봤더니 조무사가 짜증내면서 '진료 보러 오셨냐고요!' 라고 재
질문, 여기에 맞다고 대답했더니 못 듣고 다시 한 번 '진료 보러 오셨냐니깐요?!' 하고 짜증내는 모습에 말문이 막혔습니다 짜증 안 내고 물어볼 수..."
6,잘 봐주셨는데 진료비가 조금 비싼 편인거 같습니다
7,신속항원 받으러갔는데 진료봐주시는 여자원장님이 매우 친절하십니다!
8,친절하십니당
9,굿
10,굿
11,좋아요
12,"리뷰 처음 써보네요. 이렇게 불친절한 병원은 처음 봅니다. 구내염으로 방문했는데..설명없이 여기저기 쑤시고 진료 기기 탁탁 내던지듯이 내려놓고, 강압적인 태도와 말투에 그저 놀랐습니다. 의사부터 간호사, 병원 상태까지.. 다시는 안 갈 것 같네요. 다른 분들 참고하세요."
13,좋아요
14,"사람이 너무 많아요
데스크 직원 한분 너무 불친절해요, 다른분들한테도 말투가 너무 싸가지가 없으시고,저한테도 그러세요...
병원에 진료보러가는건데,진료 보러온거냐고 눠하러 온거냐고 ..."
15,"월요일 아침에 방문해서 그런지 사람이 좀 있었어요
그래서인지 친절한 느낌은 없었습니다
제 이름 호명시 다른분이 착각하셔서 들어가셨는데 저보고 왜 안들어왔냐며,, ㅎㅎㅎ"
16,"신속항원검사 7천원. 5천원 받는곳도 많으니 검사받은실분들은 참고하세요 예전에 감기 때문에 갔는데 아무 설명도 없이 코에 약품인지? 무언가를 넣
고  쏴버려서 머리가 엄청 아팠음  내가 아프고 답답하니 갔지만 다시는 안 가고 싶어요."
17,친절해요
18,"요즘 같은 시대에 이런 서비스를 하는 병원이 있네요? 안경쓰신 간호사 제외한 두 데스크 간호사불친절에 다시는 방문하고 싶지 않네요.. 5시 50분경 
코로나 검사 가능여부를 물어보려 전화를했습니다. 저 혹시 코로나 라고 말하자마자 “아니요아니요 ”라고 말을 자르고 안된다고 하네요 언제까지 가면 
되냐 물으니 “지금 오셔야 가능해요”라고 말도 끝나기전 매우 불친절하게 전화를 탁 끊더라구요 그래도 부랴부랴 5분만에 달려갔는데 안된다는..."
19,"갈때마다 친절한지 모르겠습니다 불친절 하다는걸 매번 느끼는 곳인데.. 왜 평이 좋죠? 처방전도 이랬다가 저랬다가... 약도 필요하고 서류도 필요하니 
병원가겠죠. 왜 왔냐는 식으로 질문을 두시간 기다린 환자에게 할 소리인지.."
20,친절합니다
21,추천해요
22,좋아요
23,좋아요
24,"의사선생님들은 친절하세요, 현지쌤(?)도 친절하신데 데스크는 문의가 너무 와서 힘들거같아요.  환자가 너무 많아서 대기 2시간 걸렸어요."
25,굿
26,의사쌤이 친절해요
27,ㆍ
28,위치 좋아요
29,군
30,친절해요
31,불친절해요 ㅜㅜ
32,의사가 진료보며 소견 말하는데 옆에서 어린 조무사 둘이 낄낄거리며 잡담하는데..기본이 안 되어있네요. 그 둘이 카운터도 보던데 환자 정보 물어보면서 둘이서 피식 거리는데..내가 피해의식 있나? 했더만 리뷰 보니 저만 느끼는 게 아니군요. 기본적인 서비스 교육이 시급해요.
33,효과좋아요
34,설명도 제대로 안하고 5천원하는 신속항원검사를 3만원으로 받아내는곳..다른분들 꼭 조심하세요!다신 갑니다…
35,효과 좋아요
36,굿
37,ㅎㅎ
38,친절해요
39,친절해요
40,좋
41,좋아요
42,다시는 안가요
43,"대기시간 너~~무 길어서 일단 힘들었구요. 힘든 증상 얘기하는데 다 듣지도 않으시고 마치 심하지 않을 거라는 식으로;;;; 미세먼지 또는 건조함때문에 
그렁 수 있다는 식으로 얘기하시는데 며칠동안 집에서 감기약 먹어보고 하다가 안 나아져서 간 겁니다. 제가 자주 앓아봐서 아는데,부비동염 초기 맞는
데 관련성 낮다고 하시고 콧물도 별로 없다고 하시는데, 물론 진료본 시점이 한낮인데 콧물이 별로 안 많겠죠. 그치만 목소리는 맛이 갔고 코맹맹..."
44,친절해요
45,"2월15일 염색하고 근무하신분 방문전 전화로도 친구한테보다도 하대하듯 퉁명스러운 말투+방문했을때 진료비 3만원나올게 아니라 되물어봤더니 귀
찮다는듯이 ""아 진료실 들어가시면 아실거에요""라 하질 않나(결국 오안내였고 7000원나옴^^), 방문객들이 있음에도 동료 간호산지 간호조무산지 그냥 
인포직원인지를 여튼 큰소리로 혼내고 있네요. 과장 하나도 없이 사람도 덜 된사람이 무슨 사람 건강 증진시키는 기관에서 근무를 하는지 이해도..."
