,댓글
0,"2년전에 왔다가 기억나서 다시찾았습니다
가격은 사실 다른곳이 더저렴한데 선생님이 참 친절하시고 꼼꼼하세요 
지속적으로 믿고 치료받아보겠습니다 ^^"
1,굿
2,친절하고 좋아요
3,"좋아요 원장님도 친절하시고 꼼꼼하게 잘 봐주십니다 
강추 !! "
4,전체적으로 깨끗하고 차분히 세세하게 치료과정과 가격에 대해 알려줘서 좋았습니다. 추천합니다
5,다들 너무 친절하시고 진료도 꼼꼼하게 잘 봐주셔서 정말 좋았어요!
6,좋아요
7,이사를 자주해 정말 여러 지역에서 치과들을 다녀봤지만.. 유성에서 최고의 치과라고 생각해요!! 특히 스케일링은 업계최고의 서비스를 경험하실 수 있습니다.. 클라리티 딱 한번만 가보세요ㅠㅠ 속이 다 시원함
8,친절하고 자세하게 안내해주셔서 좋았어요
9,굿
10,친절해요
11,굿
12,친절해요
13,"처음가보는 치과라서 과잉진료가 있으면 어쩌지..? 비용이 심하면 어쩌지..?했는데 원장님 실장님말고도 모두가 친절하고 가격설명과 양심진료가 너무 감사했어요
스케일링후 설명도 친절해서좋았구 감사했습니다!!"
14,친절하고 설명 잘 해주세요.
15,"예전에 다른곳에서 라미네이트 시술을 했었어서 교체할시기가 되어 친구추천으로방문했습니다.~ 신경치료같이 병행했는대 원장님 간호사님 너무너무
친절하시고 꼼꼼하시고 안아퍼서 시술받는중 꿈도꿨어요ㅎㅎ 라미네이트 그 전과 비교도 안되게 예쁘고 맘에드는건 당연하고요 10년전가격과도 별차
이없었으니 가격부분도 상당히 합리적이었어요~ 시술후 관리도 너무 꼼꼼하시구요.. 치과 고민하시는분들 바로 가보시길.. 제 인생치과등록했습니다.."
16,😀
17,"대표 원장님이 잘 상담해주셔서 좋습니다. 하지만 신경치료 결과가 좋지가 않아 환자의 입장에서는 짜증납니다. 임플란트 얘기는 안할줄 알았는데 결
국에는 임플란트도 해야되는 가능성까지 얘기를 해주시니까. 조금 혼란스럽습니다. 충분히 설명을 들었고 병원측에서 잘 케어해주실거라고 믿고 결과
가 안좋아지면 임플란트를 할수도 있겠지만 임플란트를 하고 안하고가 중요한게 아닙니다. 충치치료 했다가 임플란트까지 가는 상황까지 오면 ..."
18,"오스템  임플란트 횡령  2200억원  가족 끼리  횡령 및  모아 저축 은 행  50억  횡령  및  김만배  횡령  봐준 검찰 및  윤석렬  김건희  하나은행 일본  도이
치 주가 조작  및  허경영  장애인 상대  성추행  폭행 돈  뜯기  이재명  소년범  출신  친형 강제 입원  윤석렬 김건희  사이비 신천지 단체 엄벌 하라 문재
인 김정숙 여사 횡령 등 법인카드로  호위  호식 한  인간들  다 엄벌 해라 국민세금으로 국민 연금  적자 낸 인간들  통신 사 sgi 서울 신원보증  sk..."
19,모두들 친절하시고 시설도 깔끔해요 무엇보다 과잉진료없고 선택지를 여러개 알려주셔서 좋았습니다!
20,치과에 겁이 많은편인데 너무 친절하게 해주시고 진료도 너무 잘 봐주셨어요 감사합니다 :)
21,아프지않게 진료 잘 받았어요! 겁이 너무 많아서 치료받는 게 너무 걱정이었는데 선생님들 정말 친절하세요~ 예약을 안하고 와서 좀 기다리긴 했지만 빨리 봐주셨어요😀 감사합니다!
22,지인 소개로내원했는데 치과같이않게 깔끔하고좋아요  과잉진료 없는거 같고 친절하네요
23,굿 좋아요
24,"항상 올때마다 친절하고 꼼꼼하게 진료 봐주시는것 같습니다. 직원분들, 의사선생님 모두 친절합니다"
25,"레진 치료받았습니다 ~ 직원분들이 너무 친절하십니다 ~  진료도 그렇고, 진료 상담이나 예약 잘해주셔서 편하게 치료받고 있습니다 ~"
26,사랑니를 뽑아서 턱이 부어 있어서 좀 검정해서 다시 왔어요. 의사 선생님은 잘 설명하고 너무 친전해요. 
27,친절하고 깨끗합니다 스켈링했는데 나중에 또 가서 치료받으려규요
28,너무 좋아요 시설 의료진 프론트 등 최고 유성 탑 인증  한번 진료 받아보세요 너무나도 좋아요 친절은 덤 인거 아시쥬 댓글 간혹 보면 댓글 알바등 있긴 한데 여긴 진짜 치과 입니다 한번 방문 하면 단골각 
29,스케일링이랑 검진받았는데 친절하고 설명도 잘해주세요
30,"스케일링하고 일반 검진받으러 방문했는데
직원분들 너무 친절하시고 상세한 진료 상담, 스케일링도 시원하게 너무 잘해주셨어요^^"
31,"부모님 임플란트하고 있어요. 여러곳 상담받고 여기로 결정했는데  상담 쌤과 , 의사쌤 인상과 설명해주시는거 듣고 믿음이 생겼어요.  아직 치료중인데 부모님이 굉장히 만족하고 계십니다"
32,발치후 임플란트 치료하고있어요~~
33,"원장님,직원분들 모두친절하시고 치료힘들까봐 걱정했는데 정말 편하게 치료하고있어요~~^^"
34,사랑니발치상담하려고 방문했어요. 만족스럽습니다~
35,"모두 친절하세요
치아문제있으면 계속올예정입니다"
36,친절하시구 안아프게 스케일링 해주셔요~!! ㅎㅎ
37,스케일링 잘 받은거 같아요 증상도 사라지고
38,다들 친절하고 좋아요. 시설도 너무 좋습니다
39,다들 너무 친절하시고 설명도 잘해주시고 보다 스케일링도 가글마취 덕분에 안아프게 잘 했어요! 환경도 매우 깨끗해요
40,"두 번째 예약하고 왔어요 .
의사 선생님이랑 직원들이 친절해요 .
"
41,깨끗하고 좋네요ㅎㅎ
42,"마취통증이 너무 무서워서 마취 안아픈 곳 검색해서 찾아간 치과에요,,! 스케일링도 꼼꼼히 해주시구 다들 친절열매 드신건지 너무 친절하세요 ㅠㅠ 감
동,,♥️ 김지연선생님 넘 친절하시구 꼼꼼하셔서 검진받구 바로 치료까지 받구 왔네용 히히🥰 마취 어떻게 하신건지 너무 신기할만큼 안아파요,, 지금 동
네방네 추천하는 중,, 선생님 제발 만수무강 하세요,, 50년뒤에 임플란트 하러가게요🥲 클라리티 덕분에 이제 치과 별로 안무서워용 헤헤,, 무서..."
43,"항상 친절하시고, 세심히 해주십니다."
44,좋아요
45,스케일링 안아프게 해주시고 정말 친절하십니다😊👍
46,"항상 친절하시고 편하게 해주세요
단골!"
47,굿
48,조아요
49,굿
50,진료 친절하게 잘봐주십니다
51,좋아요
52,의사선생님께서 친절하게 설명 잘 해주시고 직원분들도 친절하고 좋아요. 예약하고 오래 대기해야 하는 병원도 많은 데 그런 것도 없구요! 과잉진료 느낌도 없어서 신뢰가 갑니다 😆
53,친절합니당
54,굿
55,"일단 시설이 넓고 청결해서 기분이 좋구요 급하게 이를 닦아야 할때는 일회용 칫솔이 비치되어 있어서 편해요 스케일링 받았는데 꼼꼼하셔서 그런지 
치석제거만 했는데도 치아가 밝아진 것 같았습니다 상담할때도 모두 친절하셨고 치료가 필요한 부분에 대해서는 과잉진료 느낌이 없고 꼭 필요한 부분
만 얘기해주시는 것 같아서 굳~~이 다른 치과가서 견적비교해야할 맘이 들지 않더라구요 상담하면서 화면에 가격이나 치아사진 찍은것을 사진..."
56,"다들 진짜 친절하시고, 궁금한 것도 잘 알려주시고 치료도 깔끔하고 아프지않게 해주세요!!"
57,"스케일링받으러 왔는데 가글마취라고 가글 짧게 물고 있으면 마취되는데 평소에 스케일링 받을 때 이가 엄청 시려웠다면 여기는 그런 느낌을 별로 못 
받았어요! 그리고 스케일링 해주신 분, 실장님, 원장님, 다른 직원분들 모두 친절하세요 진료받으면서 궁금한 것들 질문 많이했는데 오히려 진짜 자세하
고 친절하게 또 이해하기 쉽게 다들 설명해주셨습니다! 다음 진료도 여기서하려고요!"
58,"대전 이사온지 3일차 되는 사람입니당 전부터 묵혀왔던 임플란트랑 충치 치료 받으려고 근처 치과 검색해보다가 맘카페 댓글에서 광고로 올라오는데
는 믿음이 안가서 광고에 없고 리뷰는 좋은곳 골라서 왔는데 넘 좋았어요 가격은 좀 있지만 제가 마취가 잘 안되서 다른데서는 걍 조금 아프게 받았는데
마취 제대로 될때까지 여러번 해주시고 입이 작아서 치과에서 입벌리는것 힘든데 보조기구? 같은것도 해주셔서 편하게 신경치료 받았숩니당 선..."
59,스케일링을 위해서 검색하고 예약하고 다녀왔습니다.  가글 마취하여 편안하게 치료받을 수 있었습니다. 직원분들도 모두 친절하시고 설명을 잘해주십니다.
60,친절한 진료로 편하게 진찰받았씁니다. 사랑니 뽑았는데 아픔이 거의 없었어요
61,좋아요
