,댓글
0,
1,
2,투썸 플레이스 장충점에서  아메리카노 두잔 테이크 아웃 했는데  뜨거워서 15분 뒤에 먹을려고 들었는데  종이컵 옆구리 터져서  줄줄샘.  고속도로 차안에서 다급하게  커피 버리고 지점장한테 전화하니 컵은 문제 없고 내가 잘못했다고하고 보상도 안해줌 지금까지 커피 테이크 아웃하면서 종이컵 터진거는 처음이네 . 다신 투썸 안간다 얼마나 원가절감하면  커피 두...
3,직원분들도 친절하시고 케이크랑 커피도 너무 맛있어용
4,분짜샐러드 처음 먹어보는데 너무 맛있네요  오랜만에 왔는데 편해서 좋어요
5,에어팟끼고 있는 알바생 아직 있나보네요ㅋㅋㅋ 정신 안차리고 통화하면서 일하는 중 주문도 늦고 음료도 늦고 불친절하고
6,
7,
8,기프티콘 사용 가능하냐 물었더니 남자 직원분 에어팟 끼고 통화 하느라 물어봐도 답 없고 결제 하면서 테이크 아웃이라고 했는데 진동벨 울려서 갔더니 케이크 그냥 접시에 주셨길래 테이크 아웃이라고 말씀 드렸다고 하니 기분 엄청 나쁜 티 내시면서 잠시만 기다려 달라고 하는데 제가 잘못했나요? 다신 안가요
9,"케익을 사갔는데 크림이 노랗고, 다 갈라져 있었습니다... 맛은 있네요..ㅎㅎ 배탈만 안나길바래요. 투썸 많이 먹어봤는데 노란색 케익은 처음봐요"
10,
11,친절함
12,
13,직원분께서 무척 친절하세요^^ 투썸 커피랑 케이크야 더 말할 거 없이 맛있는데 직원분께서 좋으셔서 최고입니다~ 옆에 냉면집에서 식사하고 나면 10% 커피 할인도 되네요
