,댓글
0,커피는 진짜 맛있네요 
1,
2,
3,
4,드립터피 하나하나가 특징이 명확하고 색다른 풍미가 있어요. 너무 좋아서 원두까지 구입했어요!
5,일부러 갔는데 안열려있었어요…… 
6,
7,
8,
9,바리스타 분들의 친절한 설명 그리고 왠지모를 마음의 편안함. 좋은 기억에 감사합니다.
10,친절하고 맛있는 커피 센스와 분위기는 덤
11,느림의 미학  맛나요 
12,청구역이랑 아무 연고도 없는데 순수하게 커피마시러 왔어요 와서 일하시는분 친절함에 감동받고 커피맛에 2차로 감탄하고 갑니다 다음에 원두사러 또 가려고요 진짜 친절과 배려가 몸에 배신 분들이예요 배워갑니다.. 그리고 지붕도 멋있고 화장실도 깔끔 그자체입니다
13,"커피랑 디저트류 다 맛있어요 모던함과 전통을 섞은 인테리어 포근하고요  다만 내부가 좁아서 좌석이 몇개없고 코로나ㅜㅜ 조심해야겠어요 직원분들 친절하셨지만, 먹다가 급하게 전시회 기다리는거 호출와서 케이크 포장 요청했는데 직원분이 포장용기가 없다고 종이에 감싼 케이크 그대로 주길래 당황…!!ㅋㅋㅋㅋ(제가 음료비닐에 담아달라고 요청…) 그분은 일한지 얼마안되서..."
14,
15,맛있게 잘 마셨습니당
16,
17,조아요
18,맛있어요 :)
19,맛있어요. 분위기 좋고 깨끗합니다
20,맛있는커피.친절하다능
21,최애 카페 직원분들 친절하고 가게 깔끔하고 커피 맛있오요
22,2021 블루리본 획득. 광희문과 청구역 가는 조용한 길에 있는 진짜 미니멀해 보이지만 2층도 있는 듯?
23,
24,
25,직원분 응대가 인상적입니다. 커피도 너무 맛있네요. 기분 좋아지는 곳입니다.
26,분위기 좋음. 정말 조용함. 친절.
27,매장도 깔끔하고 조금 외진곳에 있어서 조용하니 좋았어요 커피맛이 진짜 최고예요 산미 있으면서 부드러운 커피 찾기 힘든데 정말 맛있었어요 다 좋지만 그중에서도 콜드블루가 제일 맛있는것 같아요
28,"에스프레소가 물이 너무 많다고, 말씀 드리니 다시 한번 내주셔서 감사하긴 했는데요. 에스프레소라는 메뉴는 안하심이 어떨까 하고 오지랖 떨어봅니다. 콩과 로스팅은 충분히 좋아 보이는데, 드립과 라떼, 뜨아, 아아만 하시면 좋을 것 같습니다. 에스프레소는 다른 잘하는 곳을 보시고 연구 충분히 해서 메뉴로 내어주시면 어떨까요. 여러모로 친절하시고 공간도 좋은데 ..."
29,바닐라 라떼는 좀 달았어요
30,커피 너무 맛있고요 1층 자리에서 보이는 입구 쪽 풍경이 계속 생각나요!
31,친절하고 맛있고 오래오래 해주세요
32,한적한 한양도성길에 새로생긴거 보고 와봐야지 하다가 이제 와봤네요. 피어니까 무조건 맛있을거라 생각하긴 했지만 커피 너무너무 맛있어요! 디저트도 맛있고요! 분위기까지 다했어요! 그리고 기분 좋아지는 피어스탭분들의 친절함과 전문성까지...이제 자주갈거에요 !! 최고최고
33,공간이 너무 예뻐요.. 근처에 있다면 자주가고싶습니다. 직원분들도 친절하시고 .. 커피 진짜 맛있어요 !! 라떼 샷추가 필수 !! 
34,고즈넉한 주변 분위기와 커피 모두 마음에 들었습니다
35,바리스타님들 너무 친절하세요. 특히 안경쓰신 분! 이것저것 섬세하게 설명해주시고 챙겨주셔서 감사했습니다. 다이애나 블렌딩 최고최고!
36,"주말의 여유를 만끽할 수 있었던 곳. 친절한 바리스타님이 커피에 대한 설명을 정성껏 해주신다. 2층 자리가 햇빛도 들고 깔끔해서 머물기에 좋았다. 산뜻한 베리향의 예가체프외 꾸덕한 초콜릿 쿠키를 먹었는데, 각각 특색이 있었다."
37,체고
38,완벽하지 않은 날 완벽한 느낌을 잠시나마 느낄 수 있는 곳
39,맛 친절도 위치 인테리어 분위기 모두 좋네요. 
40,드립커피 짱. 주인분도 넘넘 친절쓰
41,아이스 디카페인 아메리카노. 완벽. 세상에 이런 맛있는 디카페인커피라니...  물론 기본커피도 맛있음.
42,커피 맛있고 공간도 아늑해서 좋았어요
43,"되게 아무것도 없는곳에 위치해있지만 오히려 그게 장점인 것 같다 찾아가볼만한 곳 맛도 좋고 분위기도 취저 자리는 협소한편이지만 1,2층 공간이 나뉘어져 있어 다양한 분위기를 느낄 수 있음 "
44,
45,맛있고 분위기도 좋네요. 
46,구석진 위치가 조금 아쉽지만 깔끔한 커피와 디저트 널찍한 내부가 마음에 드는 곳  2020.06.25
47,맛 > 분위기 > 위치
48,"예쁘기도 하지만 커피맛이 너무 좋아요~:) 분위기도 분위기며, 맛도 좋은 곳입니다."
