논문번호,논문제목,논문사번,논문저자,논문게재일,논문게재지
43,A simple method to determine the water content in organic solvents using the1H NMR chemical shifts differences between water and solvent,01075,"강은규,박해리,윤정빈,유효연,장석규,김병주,최기환,안상두",2018-05-01,Microchemical Journal
44,A spin torque meter with magnetic facet domains,01070,"문경웅,김창수,윤정범,최준우,김동옥,송경미,김동석,전병선,황찬용",2018-12-01,Nature Communications
45,A Systematic Approach for the Determination of B-Group Vitamins in Multivitamin Dietary Supplements by High-Performance Liquid Chromatography with Diode-Array Detection and Mass Spectrometry,00945,"심희정,김병주,이준희",2016-09-01,Journal of AOAC International
46,A Technic for Ground Anchor Force Determination from Distributed Strain Using Fiber Optic OFDR Sensor with the Rejection of a Temperature Effect,00793,"권일범,권용석,서대철,윤동진,김은호",2020-12-01,Applied Sciences
47,A thermal noise measurement system for noise temperature standards in W-band,00685,"강태원,김정환,강노원,강진섭",2015-06-01,IEEE T INSTRUM MEAS
48,A time-differential Brillouin optical correlation domain analysis sensor using the zeroth-order correlation peak,00793,"최보훈,권일범",2019-07-01,LASER PHYSICS
49,Ab initio materials design using conformational space annealing and its application to searching for direct band gap silicon crystals,00817,"이인호,오영준,김성현,이주영,장기주",2016-06-01,COMPUT PHYS COMMUN
50,Abnormal texture evolution of rolled Mg-3Al-1Zn alloy containing initial {10-12} twins,00953,"이정훈,박성혁,홍성구,원종우,이종수",2015-04-01,SCRIPTA MATERIALIA
51,Absolute angle measurement using a phase-encoded binary graduated disk,00832,"김종안,김재완,강주식,진종한,엄태봉",2016-02-15,MEASUREMENT
52,Absolute distance measurement method without a non-measurable range and directional ambiguity based on the spectral-domain interferometer using the optical comb of the femtosecond pulse laser,01028,"박정재,진종한,김종안,김재완",2016-12-12,APPLIED PHYSICS LETTERS
53,Absolute measurement of 198Au activity in gold foil using plastic scintillators and a well-type NaI(Tl) detector,01110,"김윤호,김정호,이종만,박현서",2016-03-01,APPLIED RADIATION AND ISOTOPES
54,Absolute planar position and full angle orientation sensor using a two-dimensional color-coded binary scale,00832,"김종안,김재완,강주식,이재용,우제흔",2020-05-01,IEEE Transactions on Instrumentation and Measurement
55,Acceleration of the Multi-Level Fast Multipole Algorithm Using K-Means Clustering,01136,"윤달재,정해원,강훈,양우용,서동욱",2020-11-16,Electronics
56,Accuracy assessment of a PION TCI pump based on international standards,01050,"도일,이석환,이용훈,전복영,최병문,노규정",2019-11-01,Anesthesia & Pain Medicine
57,Accurate and Precise Determination of Mechanical Properties of Silicon Nitride Beam Nanoelectromechanical Devices,01163,"김학성,신동훈,이상욱",2017-03-01,ACS Applied Materials & Interfaces
58,Accurate determination of hexabromocyclododecane diastereomers in extruded high-impact polystyrene: Development of an analytical method as a candidate reference method,00982,"백송이,김병주,이선영,이준희,안성희",2018-11-01,CHEMOSPHERE
59,Accurate Determination of Ochratoxin A in Korean Fermented Soybean Paste by Isotope Dilution-Liquid Chromatography Tandem Mass Spectrometry,00862,"안성희,이수영,이준희,김병주",2016-06-04,FOOD CHEM
60,Accurate Gap Determination in Monolayer and Bilayer Graphene/h-BN Moire Superlattices,00989,"김학성,N. Leconte,B. Chittar,K. Watanab,T. Taniguc,A. H. Mac,정재일,정수용",2018-12-12,NANO LETTERS
61,Accurate Gap Determination in Monolayer and Bilayer Graphene/h-BN Moire Superlattices,01163,"김학성,N. Leconte,B. Chittar,K. Watanab,T. Taniguc,A. H. Mac,정재일,정수용",2018-12-12,NANO LETTERS
62,Accurate Measurement of Self-diffusion Coefficient of Nanoparticles in Aqueous Solutions Using a Dynamic Light Scattering,00842,"권수용,이성준",2020-10-30,JOURNAL OF THE KOREAN PHYSICAL SOCIETY
63,Accurate quantification of glass-forming ability by measuring effective volume relaxation of supercooled melt,00926,"Ryu, C.W.,이근우",2017-10-01,APL Materials
64,Active Turnover of Heme in Hibernation Period in Mammals,01122,"Phil Jun Lee,Namki Cho,유희민,Hong Pyo Kim",2020-01-15,Frontiers in Physiology
65,Activity measurement of 222Rn gas for a key comparison,00783,"김병주,이종만,이경범,박태순,김병철",2018-04-02,APPLIED RADIATION AND ISOTOPES
66,Activity measurement of 222Rn gas for a key comparison,00790,"김병주,이종만,이경범,박태순,김병철",2018-04-02,APPLIED RADIATION AND ISOTOPES
67,Activity standardization of 99mTc using liquid scintillation counting,00808,"이경범,이종만,박태순,이상한",2018-06-01,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY
68,Adsorption in alumina pores open at one and at both ends,01093,"L. Bruschi,G. Mistura,이우",2015-02-14,NANOSCALE
69,Adsorption of CO molecules on the Si(111)-(7×7) surface,00554,"서언미,엄대진,현정민,김한철,구자용",2017-02-01,SURFACE SCIENCE
70,Adsorption on alumina nanopores with conical,01093,"L. Bruschi,G. Mistura,B.Coasne,이우",2018-10-14,NANOSCALE
71,Adsorption on Highly Ordered Porous Alumina,01093,"G. Mistura,L. Bruschi,이우",2016-10-01,J LOW TEMP PHYS
72,Advanced measurement and diagnosis of the effect on the underlayer roughness for industrial standard metrology,01076,"문승현,김정환,Peter De W,김연상,신채호,김지웅,이동근,박병천,김달현,정유진,Sean Hand,Jason Osbo",2019-12-01,SCIENTIFIC REPORTS
